category1,category2,company,location,must_have,nice_to_have,position,remote,salary_range,seniority
 Product Management ,, Wipro Digital , Cracow ," Backlog management , Defining business requirements , French , English , French ", Polish , Major Incident Manager (with French) ,False," 23 100  – 27 300 , PLN ", Mid 
 ERP ,, Link Group , Remote ," SAP , Linux , Windows , Oracle , English "," HANA , ABAP , Java ", REMOTE Mid&Senior SAP Basis Admin ,False," 20 160  – 28 560 , PLN ", Senior 
 Product Management ,, Wipro Digital , Gdansk ," Jira , Confluence , Kanban , scrum , Agile , SDLC , English "," CI/CD , Polish ", Delivery Lead (Scrum Master) ,False," 25 200  – 30 450 , PLN ", Senior 
 Project Manager ,, Tooploox , Remote ," Jira , Asana , English , Polish "," Degree , AI ", Agile Project Manager ,False," 12 000  – 18 000 , PLN ", Senior 
 Business Analysis ,, Axis Group , Remote ," Good knowledge of Microsoft Excel , Bachelor&#39;s degree in Computer Science or economics , Analytical thinking , Communication skills , Excel , Degree , English (B2)"," BI tools , Tableau , Power BI , Qlik , SQL / NoSQL , Knowledge of date warehouse , Knowledge of ETL process , SQL , NoSQL , ETL ", Junior Analytics Developer ,False," 5 000  – 8 500 , PLN ", Junior 
 Fullstack , .NET , Wipro Digital , Remote ," .NET , React , Microservices , Automation , Git , JUnit , English "," Docker , Kubernetes , Jenkins , Azure , GCP , AWS , Polish "," Full Stack Engineer (.NET, React, Azure) ",False," 25 200  – 37 800 , PLN ", Senior 
 Frontend , React , N-iX , Remote ," React , JavaScript , Redux , HTML , CSS , English (B2)", TypeScript , Middle React Developer ,False," 14 660  – 21 111 , PLN ", Mid 
 Product Management ,, Wipro Digital , Gdansk ," Jira , Confluence , Kanban , English ", Polish , Product Owner (Digital Transformation) ,False," 25 200  – 29 400 , PLN ", Mid 
 DevOps , SQL , Drata , Remote ," MySQL , SQL , AWS , AWS RDS , Databases , English ", DynamoDB , Senior Database Reliability Engineer/DBA ,False," 24 434  – 31 415 , PLN ", Senior 
 Backend , Spark , Wipro Digital , Krakow ," Spark , Microservices , Jenkins , GitHub , Jira , Confluence , Scrum , English "," GCP , Apache Airflow , JUnit , TDD , BDD , Azure , AWS , Polish ", Scala (Spark) Backend Developer ,False," 21 000  – 26 250 , PLN ", Mid 
